full_formula,task_id,formation_energy_per_atom
Rb2Ni1P4H8O16,mp-1198723,-2.0853858444623663
La5P12Ru19,mp-1199456,-0.8304729249999983
Pr6Rh8Pb26,mp-1200080,-0.2893912727500002
Pr6Zn44,mp-1200700,-0.28471843320000007
Ba8H32Pt4O32,mp-1200998,-1.6780080215789475
Na4Ti4As4O20,mp-1201259,-2.5275995296731324
Nd52Ga14Co20,mp-1202605,-0.24169762145348866
Sc8Si16W12,mp-1202662,-0.5616582427777767
B8Pb16O28,mp-1203040,-2.0464207906410254
Cs4Ti2P8O26,mp-1203715,-2.826346150876437
B8H104C32N80Cl8O4,mp-1204048,-0.550822998361581
K14Fe10S20,mp-1204678,-1.0486522735113633
K2Fe4P6O16F12,mp-1205183,-2.6643649741499997
Nd4Cd2Rh4,mp-1205619,-0.5936260229999994
Cs3Fe1F6,mp-1205629,-2.90169818187931
Eu2Al2Ge2,mp-1206175,-0.5288831816666667
Yb1In1Ni4,mp-1206307,-0.34605051499999995
Nd4Co4I2,mp-1206451,-0.6473465820000002
Gd2Sn2Ge2,mp-1206580,-0.6340192883333332
Dy4Co4I2,mp-1206614,-0.6750541880000007
Lu3Ga1C1,mp-1206912,-0.5461971394999985
Li1Mg1Sb1,mp-1207082,-0.6262748177777778
Tm4Cd2Pd4,mp-1207238,-0.8259275626666664
Y12Rh4,mp-1207780,-0.5071877893750001
Tl2V1F6,mp-1208154,-2.5924728379629634
Tl12Cr8P12S48,mp-1208541,-0.7666026476250003
Tb2Zn6P6,mp-1208551,-0.6080008907142859
Sr2Li2V2F12,mp-1208625,-3.574542677777778
Sm12Ge12Pd12,mp-1208689,-0.9688854922222221
Rb2Sr1P4O12,mp-1209338,-2.835730577631579
Rb8Sm4Cl20,mp-1209521,-2.5506936762500008
Rb4Cd2I8,mp-1209531,-1.3544216128571434
Pr4Cr4Sb12,mp-1209589,-0.5721680265000003
Nd2Al20Ru4,mp-1209876,-0.518703981923077
